iter	Passed	Remaining
0	1	119
1	2	113
2	3	111
3	4	108
4	5	112
5	6	108
6	8	106
7	8	103
8	9	99
9	10	98
10	11	97
11	12	95
12	13	93
13	14	92
14	16	91
15	17	89
16	18	88
17	19	87
18	20	87
19	21	85
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	29	76
28	30	75
29	31	74
30	32	73
31	34	74
32	36	73
33	37	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	52	54
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	58	48
55	60	47
56	61	46
57	62	44
58	63	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	90	19
82	91	18
83	92	17
84	93	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	109	1
99	110	0
